postcode,SA2
3000,206041122
3001,206041122
3002,206041119
3003,206041127
3004,206041126
3005,206041118
3006,206041126
3008,206041118
3010,206041124
3011,213031348
3012,213011338
3013,213031352
3015,213021344
3016,213021346
3018,213021341
3019,213031347
3020,213011328
3021,213011333
3022,213011328
3023,213041461
3024,213041359
3025,213021343
3026,213011330
3027,213051363
3028,213021342
3029,213051361
3030,213011330
3031,206031115
3032,206031113
3033,210011228
3034,210011229
3036,210011228
3037,213011340
3038,213011332
3039,206031116
3040,206031114
3041,210011227
3042,210011226
3043,210051245
3044,210031239
3045,210051248
3046,210031438
3047,210051242
3048,210051243
3049,210051245
3050,206041124
3051,206041123
3052,206041124
3053,206041117
3054,206071140
3055,206011105
3056,206011105
3057,206011106
3058,206011108
3059,210051246
3060,210031237
3061,210051243
3062,210051249
3063,210051246
3064,210051441
3065,206071142
3066,206071141
3067,206071139
3068,206071145
3070,206021111
3071,206021112
3072,209021429
3073,209041223
3074,209041223
3075,209041219
3076,209041433
3078,206021110
3079,209011200
3081,209011199
3082,209041220
3083,209041217
3084,209011198
3085,209021205
3086,209021205
3087,209011204
3088,209011202
3089,209031215
3090,209031213
3091,209031213
3093,209011202
3094,209011202
3095,209031209
3096,209031215
3097,209031212
3099,209031212
3101,207011153
3102,207011154
3103,207011147
3104,207011148
3105,207021156
3106,207021159
3107,207021160
3108,207021157
3109,207021425
3111,211021261
3113,209031214
3114,211021261
3115,211021262
3116,211051275
3121,206071144
3122,207011152
3123,207011151
3124,207011149
3125,207031165
3126,207011155
3127,207031167
3128,207031163
3129,207031164
3130,207031161
3131,211041269
3132,211041270
3133,211041272
3134,211031267
3135,211031267
3136,211031451
3137,211051277
3138,211051281
3139,211051286
3140,211051278
3141,206061137
3142,206061137
3143,206061135
3144,208041194
3145,208021177
3146,208041194
3147,207011146
3148,212051319
3149,212051324
3150,212051327
3151,207031166
3152,211011260
3153,211011251
3154,211011449
3155,211011446
3156,211011447
3158,211051284
3159,211051274
3160,211051274
3161,208021177
3162,208021178
3163,208021178
