FID,OBJECTID,STOP_ID,STOP_NAME,LATITUDE,LONGITUDE,TICKETZONE,ROUTES_USING_STOP,SHAPE,SE_ANNO_CAD_DATA
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_73e9,146,19970,Royal Park Railway Station (Parkville),-37.7812,144.9523,1,Upfield,POINT (-37.78119297 144.95230116),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_73ea,147,19971,Flemington Bridge Railway Station (North Melbourne),-37.7881,144.9393,1,Upfield,POINT (-37.78813998 144.93932316),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_73eb,148,19972,Macaulay Railway Station (North Melbourne),-37.7943,144.9362,1,Upfield,POINT (-37.794267 144.93616596),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_73ec,149,19973,North Melbourne Railway Station (West Melbourne),-37.8074,144.9426,1,"Flemington,Sunbury,Upfield,Werribee,Williamstown,Craigieburn",POINT (-37.80741897 144.94257),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_73ed,150,19974,Clifton Hill Railway Station (Clifton Hill),-37.7887,144.9954,1,"Mernda,Hurstbridge",POINT (-37.78865703 144.99541692),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_73ee,151,19975,Victoria Park Railway Station (Abbotsford),-37.7992,144.9945,1,"Mernda,Hurstbridge",POINT (-37.79915796 144.99445104),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_73ef,152,19976,Collingwood Railway Station (Abbotsford),-37.8045,144.9938,1,"Mernda,Hurstbridge",POINT (-37.80452601 144.99375012),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_73f0,153,19977,North Richmond Railway Station (Richmond),-37.8104,144.9925,1,"Mernda,Hurstbridge",POINT (-37.81039797 144.99249984),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_73f1,154,19978,West Richmond Railway Station (Richmond),-37.8149,144.9914,1,"Mernda,Hurstbridge",POINT (-37.814949 144.99142308),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_73f2,155,19979,Jolimont-MCG Railway Station (East Melbourne),-37.8165,144.9841,1,"Mernda,Hurstbridge",POINT (-37.81652697 144.98409816),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_73f3,156,19983,Macleod Railway Station (Macleod),-37.726,145.0691,2,Hurstbridge,POINT (-37.72601199 145.06914312),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_73f4,157,19984,Watsonia Railway Station (Watsonia),-37.711,145.0838,2,Hurstbridge,POINT (-37.71095796 145.08379296),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_73f5,158,19985,Greensborough Railway Station (Greensborough),-37.704,145.1082,2,Hurstbridge,POINT (-37.70395398 145.10824704),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_73f6,159,19986,Montmorency Railway Station (Montmorency),-37.7153,145.1215,2,Hurstbridge,POINT (-37.71529596 145.12151592),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_73f7,160,19987,Eltham Railway Station (Eltham),-37.7136,145.1478,2,Hurstbridge,POINT (-37.71354996 145.14782184),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_73f8,161,19988,Diamond Creek Railway Station (Diamond Creek),-37.6733,145.1585,2,Hurstbridge,POINT (-37.67329701 145.15850592),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_73f9,162,19989,Wattle Glen Railway Station (Wattle Glen),-37.664,145.1816,2,Hurstbridge,POINT (-37.66396797 145.18161504),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_73fa,163,19990,Hurstbridge Railway Station (Hurstbridge),-37.6394,145.192,2,Hurstbridge,POINT (-37.63939797 145.19201688),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_73fb,164,19991,Williamstown Railway Station (Williamstown),-37.8678,144.9053,1,Williamstown,POINT (-37.86775299 144.90532296),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_73fc,165,19992,Williamstown Beach Railway Station (Williamstown),-37.864,144.8945,1,Williamstown,POINT (-37.86398199 144.89448408),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_73fd,166,19993,North Williamstown Railway Station (Williamstown),-37.8573,144.8891,1,Williamstown,POINT (-37.85733297 144.88906896),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_73fe,167,19994,Newport Railway Station (Newport),-37.8427,144.8836,1,"Williamstown,Werribee",POINT (-37.84271796 144.88359984),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_73ff,168,19995,Spotswood Railway Station (Spotswood),-37.8306,144.8859,1,"Williamstown,Werribee",POINT (-37.83063897 144.885933),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7400,169,19996,Yarraville Railway Station (Yarraville),-37.8158,144.8899,1,"Williamstown,Werribee",POINT (-37.81584999 144.88993404),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7401,170,19997,Seddon Railway Station (Seddon),-37.809,144.8957,1,"Williamstown,Werribee",POINT (-37.80900504 144.89567208),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7402,171,20000,Watergardens Railway Station (Sydenham),-37.7011,144.7742,2,Sunbury,POINT (-37.70112897 144.77418),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7403,172,20001,Keilor Plains Railway Station (St Albans),-37.7293,144.7937,2,Sunbury,POINT (-37.72927899 144.79373808),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7404,173,20002,St Albans Railway Station (St Albans),-37.7449,144.8,2,Sunbury,POINT (-37.74486096 144.80004996),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7405,174,20003,Ginifer Railway Station (St Albans),-37.7601,144.8113,2,Sunbury,POINT (-37.760067 144.81134784),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7406,175,20004,Albion Railway Station (Sunshine North),-37.7777,144.8247,"1,2",Sunbury,POINT (-37.777653 144.82470384),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7407,176,20005,Epping Railway Station (Epping),-37.6522,145.0311,2,Mernda,POINT (-37.65218697 145.03106808),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7408,177,20006,Lalor Railway Station (Lalor),-37.6659,145.0172,2,Mernda,POINT (-37.66585104 145.01719296),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7409,178,20007,Thomastown Railway Station (Thomastown),-37.6803,145.0143,2,Mernda,POINT (-37.68033798 145.01427912),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_740a,179,20008,Keon Park Railway Station (Thomastown),-37.6949,145.0119,2,Mernda,POINT (-37.69487001 145.01188404),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_740b,180,20009,Ruthven Railway Station (Reservoir),-37.7079,145.0095,2,Mernda,POINT (-37.70789796 145.00951704),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_740c,181,20010,Reservoir Railway Station (Reservoir),-37.7169,145.007,"1,2",Mernda,POINT (-37.716885 145.00699596),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_740d,182,20011,Regent Railway Station (Reservoir),-37.7284,145.0028,"1,2",Mernda,POINT (-37.72840302 145.00277316),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_740e,183,20012,Preston Railway Station (Preston),-37.7387,145.0005,"1,2",Mernda,POINT (-37.738674 145.00052208),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_740f,184,20013,Bell Railway Station (Preston),-37.7456,145.0002,1,Mernda,POINT (-37.74556197 145.00015488),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7410,185,20014,Thornbury Railway Station (Thornbury),-37.7551,144.9986,1,Mernda,POINT (-37.75505202 144.99857196),
