name,coordinates,price,bed,bath,park_num,postcode,Latitude,Longitude
2010/7 Katherine Place Melbourne VIC 3000,"[-37.8201858, 144.9564628]",675.0,2.0,2.0,0,3000,-37.8201858,144.9564628
1308/68 La Trobe Street Melbourne VIC 3000,"[-37.8083648, 144.9667899]",570.0,2.0,1.0,1,3000,-37.8083648,144.9667899
1307/268 Flinders Street Melbourne VIC 3000,"[-37.8178134, 144.9655688]",400.0,1.0,1.0,0,3000,-37.8178134,144.9655688
407/62-68 Hayward Lane Melbourne VIC 3000,"[-37.8089779, 144.9668783]",350.0,0.0,1.0,0,3000,-37.8089779,144.9668783
403/39 Queen Street Melbourne VIC 3000,"[-37.817888, 144.9617372]",450.0,0.0,1.0,0,3000,-37.817888,144.9617372
403/118 Russell Street Melbourne VIC 3000,"[-37.8135119, 144.9690856]",650.0,1.0,1.0,0,3000,-37.8135119,144.9690856
908/201 Collins Street Melbourne VIC 3000,"[-37.8154091, 144.9674094]",1450.0,1.0,1.0,1,3000,-37.8154091,144.9674094
903/1 Roy Street Melbourne VIC 3000,"[-37.8464972, 144.9774734]",850.0,2.0,2.0,2,3000,-37.8464972,144.9774734
103/300 Swanston Street Melbourne VIC 3000,"[-37.8106088, 144.9645798]",595.0,1.0,1.0,1,3000,-37.8106088,144.9645798
2001/318 Queen Street Melbourne VIC 3000,"[-37.8112667, 144.9592612]",600.0,2.0,1.0,0,3000,-37.8112667,144.9592612
108/565 Flinders Street Melbourne VIC 3000,"[-37.8210558, 144.9559033]",425.0,1.0,1.0,0,3000,-37.8210558,144.9559033
2105/228 La Trobe St Melbourne VIC 3000,"[-37.8096052, 144.962371]",650.0,1.0,1.0,0,3000,-37.8096052,144.962371
2601/228 La Trobe St Melbourne VIC 3000,"[-37.8096052, 144.962371]",620.0,1.0,1.0,0,3000,-37.8096052,144.962371
4009/228 La Trobe Street Melbourne VIC 3000,"[-37.8096052, 144.962371]",850.0,2.0,1.0,0,3000,-37.8096052,144.962371
513/422 Collins Street Melbourne VIC 3000,"[-37.8170971, 144.9601487]",525.0,1.0,1.0,0,3000,-37.8170971,144.9601487
602/31 Spring Street Melbourne VIC 3000,"[-37.8145047, 144.9740695]",675.0,2.0,1.0,1,3000,-37.8145047,144.9740695
617/408 Lonsdale Street Melbourne VIC 3000,"[-37.8125979, 144.9604012]",375.0,1.0,1.0,0,3000,-37.8125979,144.9604012
1211/620 Collins Street Melbourne VIC 3000,"[-37.8186626, 144.9543471]",675.0,2.0,1.0,1,3000,-37.8186626,144.9543471
191/350 St Kilda Road Melbourne VIC 3000,"[-37.8310667, 144.9709519]",1600.0,3.0,3.0,3,3000,-37.8310667,144.9709519
1609/31 Abeckett Street Melbourne VIC 3000,"[-37.8088893, 144.9625546]",580.0,2.0,1.0,1,3000,-37.8088893,144.9625546
1310/80 ABeckett Street Melbourne VIC 3000,"[-37.8090227, 144.9610587]",410.0,1.0,1.0,0,3000,-37.8090227,144.9610587
719/555 Flinders Street Melbourne VIC 3000,"[-37.8209711, 144.9564827]",420.0,1.0,1.0,1,3000,-37.8209711,144.9564827
1303/11 Rose Lane Melbourne VIC 3000,"[-37.8154514, 144.9541271]",570.0,1.0,1.0,0,3000,-37.8154514,144.9541271
3313/228 La Trobe Street Melbourne VIC 3000,"[-37.8096052, 144.962371]",850.0,2.0,1.0,2,3000,-37.8096052,144.962371
3007/35 Spring Street Melbourne VIC 3000,"[-37.8141725, 144.9740049]",2300.0,3.0,2.0,2,3000,-37.8141725,144.9740049
1802/8 Sutherland Street Melbourne VIC 3000,"[-37.8113164, 144.9609854]",625.0,2.0,2.0,0,3000,-37.8113164,144.9609854
100/19 Exploration Lane Melbourne VIC 3000,"[-37.8089339, 144.9680888]",400.0,0.0,1.0,0,3000,-37.8089339,144.9680888
1502/483 Swanston Street Melbourne VIC 3000,"[-37.8072179, 144.9623358]",650.0,2.0,1.0,0,3000,-37.8072179,144.9623358
6803/228 La Trobe Street Melbourne VIC 3000,"[-37.8096052, 144.962371]",900.0,2.0,2.0,1,3000,-37.8096052,144.962371
2/6 Anthony Street Melbourne VIC 3000,"[-37.8094939, 144.9593798]",560.0,2.0,1.0,1,3000,-37.8094939,144.9593798
1301/17 Spring Street Melbourne VIC 3000,"[-37.8147493, 144.9744021]",1850.0,3.0,2.0,2,3000,-37.8147493,144.9744021
904/265 Exhibition Street Melbourne VIC 3000,"[-37.8095116, 144.9691204]",850.0,2.0,2.0,1,3000,-37.8095116,144.9691204
1902/200 Spencer Street Melbourne VIC 3000,"[-37.816228, 144.9532465]",630.0,2.0,1.0,1,3000,-37.816228,144.9532465
312B/399 Bourke Street Melbourne VIC 3000,"[-37.8147259, 144.9621291]",450.0,1.0,1.0,0,3000,-37.8147259,144.9621291
301/499 St Kilda Road Melbourne VIC 3000,"[-37.8434125, 144.9786264]",470.0,1.0,1.0,0,3000,-37.8434125,144.9786264
2302/17 Spring Street Melbourne VIC 3000,"[-37.8147493, 144.9744021]",1500.0,2.0,2.0,1,3000,-37.8147493,144.9744021
1/113 brook street Melbourne VIC 3000,"[-37.9164852, 145.0788029]",600.0,1.0,1.0,0,3000,-37.9164852,145.0788029
403/17 Singers Lane Melbourne VIC 3000,"[-37.8110876, 144.9566218]",450.0,1.0,1.0,0,3000,-37.8110876,144.9566218
1413/199 William Street Melbourne VIC 3000,"[-37.8145716, 144.9573479]",650.0,2.0,1.0,0,3000,-37.8145716,144.9573479
2408/5 Sutherland Street Melbourne VIC 3000,"[-37.811416, 144.9608504]",580.0,2.0,1.0,0,3000,-37.811416,144.9608504
11/187 Collins Street Melbourne VIC 3000,"[-37.81540469999999, 144.9678522]",800.0,1.0,1.0,0,3000,-37.81540469999999,144.9678522
32/18 Queen Street Melbourne VIC 3000,"[-37.8182665, 144.9625657]",495.0,1.0,1.0,0,3000,-37.8182665,144.9625657
301/565 Flinders Street Melbourne VIC 3000,"[-37.8210558, 144.9559033]",400.0,1.0,1.0,0,3000,-37.8210558,144.9559033
511/118 Franklin Street Melbourne VIC 3000,"[-37.8082052, 144.9589035]",525.0,2.0,1.0,0,3000,-37.8082052,144.9589035
1605/68 La Trobe Street Melbourne VIC 3000,"[-37.8083648, 144.9667899]",590.0,2.0,1.0,1,3000,-37.8083648,144.9667899
