Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Albert Park-Middle Park-West St Kilda,266.25,281.25,300.0,295.0,300.0,302.5,317.0,362.5,389.5,417.5,431.25,445.0,460.0,461.5,472.5,491.25,515.0,527.75,562.5,568.0,570.0,498.75,510.0,545.0
Armadale,203.75,222.5,231.0,236.0,238.75,243.25,261.25,295.0,331.25,350.75,363.75,382.5,385.0,395.0,393.75,399.75,402.5,445.0,487.5,481.25,498.75,433.75,447.5,490.0
Carlton North,263.75,276.25,290.0,290.0,299.5,301.25,322.75,345.0,388.75,412.5,440.0,465.0,495.0,492.5,515.0,530.0,527.5,545.0,566.25,579.25,588.75,577.5,593.75,620.0
Carlton-Parkville,260.0,263.75,271.67,281.2,282.5,280.25,275.0,279.5,290.0,318.0,340.0,340.0,340.0,347.0,351.75,365.5,373.25,398.0,417.0,431.25,399.75,335.0,329.75,400.0
CBD-St Kilda Rd,320.0,320.0,320.0,308.0,300.0,304.0,316.25,350.0,384.75,400.25,415.0,427.5,441.25,443.5,435.0,441.25,452.5,480.0,493.75,505.0,471.25,362.25,406.0,500.0
Collingwood-Abbotsford,235.0,248.25,256.67,262.0,271.25,276.75,288.75,328.25,367.5,396.25,412.5,431.25,450.0,460.0,438.75,435.0,447.5,458.75,477.5,495.0,482.5,435.0,463.75,520.0
Docklands,85.0,0.0,336.67,350.0,368.75,370.0,380.0,425.0,463.75,500.0,505.75,532.5,517.5,502.5,498.75,502.5,525.0,522.5,550.0,575.0,520.0,405.0,462.5,550.0
East Melbourne,272.5,301.25,320.0,298.0,297.5,301.25,307.5,340.0,372.5,395.0,413.75,442.5,457.5,460.0,462.5,468.25,475.5,496.25,502.5,516.25,526.25,450.0,483.75,540.0
East St Kilda,180.0,191.25,200.0,206.0,215.0,220.0,228.75,257.5,292.5,321.25,340.0,351.25,360.0,360.0,366.25,365.0,387.5,400.0,406.25,422.5,420.0,385.0,398.75,450.0
Elwood,202.25,220.0,230.0,233.2,242.25,247.5,257.5,288.75,323.75,350.0,360.0,381.5,391.25,391.25,392.5,398.75,405.0,420.0,435.0,450.0,447.5,421.25,425.0,450.0
