type,id,latitude,longitude
node,647402239,-36.2280815,145.5605266
node,1466700636,-37.7477873,145.1555882
node,1805855695,-36.7437933,147.1837952
node,1805856011,-36.7386048,147.1862469
node,1805858135,-36.7400436,147.1896364
node,1805858856,-36.7406465,147.1865902
node,1808391938,-35.94472,141.87417
node,2399159519,-36.4144632,143.6053369
node,2426036477,-38.1400017,146.4462323
node,2483459467,-37.8581272,144.7709804
node,2495574517,-37.168787,142.5381544
node,2614540924,-36.8946377,147.0614909
node,2614541069,-36.8960551,147.0694065
node,2622212976,-37.9757646,145.1946697
node,2782520464,-37.9163727,145.3585786
node,2843123748,-37.7682833,145.2045614
node,2941686262,-37.8328426,145.0095238
node,3003930248,-37.7207688,145.0509645
node,3068361882,-37.9420711,145.0534056
node,3360867316,-37.7834415,144.8994123
node,3421013393,-37.7984261,144.9618082
node,3453910649,-37.795989,145.1283327
node,3605056308,-34.2090857,142.042048
node,3606325764,-38.004114,145.3950388
node,3636679557,-36.6490516,143.704083
node,4017426048,-37.8426034,144.8824624
node,4064875839,-37.4413612,143.912121
node,4588581658,-37.5419436,143.8143167
node,4636033169,-38.0691567,145.3256073
node,4636054300,-38.0682245,145.3260674
node,4636062385,-38.0612948,145.3228649
node,4636069607,-38.0713326,145.3230415
node,4636069608,-38.070672,145.3236518
node,4636069609,-38.0699813,145.3243935
node,4677413332,-37.0530441,142.7846356
node,4679778554,-38.6664086,145.6102139
node,5215398897,-37.1736288,146.5627328
node,5309701610,-37.8454223,144.8909016
node,5324409313,-38.5485285,143.9809198
node,5436484557,-37.7266503,144.9204346
node,5577550565,-37.5922913,149.1493554
node,5742290790,-38.3712159,146.2742954
node,5759927121,-37.7542943,145.686437
node,6023989929,-38.2398188,145.0844651
node,6310275257,-37.8362251,145.2488215
node,6764091721,-37.7547814,144.8832467
node,6829877815,-36.5739968,146.7462375
node,7108455223,-37.2126266,145.0414261
node,7108455241,-37.2062505,145.0463058
node,7196549117,-37.5475049,149.2120138
node,7428480261,-37.7294409,144.955863
node,7428523473,-37.7353979,144.9455054
node,7428891872,-37.5496138,148.1063047
node,7428891873,-37.5494926,148.1061625
node,7443741667,-36.3918666,146.7433018
node,7465157709,-38.7828537,146.0584669
node,7579578465,-37.0757771,144.2401766
node,7844240440,-37.8155391,145.0858517
node,8110389594,-38.4203185,145.0765789
node,8386112284,-37.7827333,145.6304062
node,8723625030,-37.8599318,145.2787069
node,8735321696,-37.0888651,143.471844
node,8735321698,-37.0905461,143.4746785
node,8945445062,-37.7751312,144.9605853
node,9262216551,-37.7364754,145.2220618
node,9587111018,-37.8661307,144.6562575
node,9985459432,-37.7869523,144.9086741
node,9997008060,-37.8574831,142.0242421
node,10050451681,-36.3149506,146.8828483
node,10239585588,-37.9926775,145.2688782
node,10272094295,-37.768978,144.6907052
node,10829611925,-37.8384737,145.2672107
node,10970328981,-37.6397362,145.1923848
node,11076349033,-37.9696122,145.3939612
way,4394426,-37.879125,145.1490554
way,4396215,-37.8836246,145.1481346
way,4396376,-37.8861114,145.1515822
way,4472473,-37.8809718,145.1569914
way,4536039,-37.880781,145.1351525
way,4575382,-37.8845027,145.1411472
way,4576794,-37.8801646,145.1491196
way,4609928,-37.8736504,145.1660226
way,4721862,-37.8881782,145.1326651
way,4817020,-37.8129571,144.9804635
way,4817056,-37.8002056,144.9730908
way,4817077,-37.8027286,144.9658488
way,4817082,-37.8104878,144.9544194
way,4817097,-37.8140247,144.9759799
way,4831169,-37.7649758,144.9389577
way,4856049,-37.7685173,144.9512401
way,4856979,-37.7638388,144.9512618
way,4941381,-37.7606603,144.9397702
way,4941389,-37.7650845,144.9501341
way,4953457,-37.7569192,144.9461394
way,4965315,-37.7849129,144.9614904
way,4965731,-37.8740621,145.1475001
way,4965816,-37.7714991,144.9439454
way,4976483,-37.7668352,144.9528557
way,4978081,-37.7700959,144.9361955
way,4987027,-37.6833286,144.731094
way,4987681,-37.6877957,144.7324418
way,5019820,-37.7818551,145.5675116
way,5055082,-37.7628516,144.9387422
way,5065841,-37.7685421,144.9414431
way,5067096,-37.7713639,144.9732853
way,5103445,-37.7949327,144.9511264
way,5110090,-37.7478796,144.9435699
way,5118648,-37.7668506,144.9721874
way,5123815,-37.80731,144.9513705
way,5170254,-37.7606585,144.9339509
way,5213103,-37.8917153,145.1178315
way,5213109,-37.8910913,145.122072
way,5213161,-37.911806,145.176506
way,5213167,-37.9147639,145.1860398
way,5366450,-37.9143617,145.240477
